@W: CD274 :"C:\Kevan\A3041\P3041\Main.vhd":345:4:345:7|Incomplete case statement - add more cases or a when others
@W: CL117 :"C:\Kevan\A3041\P3041\OSR8V1R1.vhd":1168:2:1168:3|Latch generated from process for signal alu_cin; possible missing assignment in an if or case statement.
@W: CL168 :"C:\Kevan\A3041\P3041\MUL.vhd":215:4:215:17|Removing instance scuba_vhi_inst because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Kevan\A3041\P3041\P3035A_RAM.vhd":542:4:542:7|Removing instance FF_1 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CD280 :"C:\Kevan\A3041\P3041\Entities.vhd":37:11:37:15|Unbound component BUFBA mapped to black box
@W: CL169 :"C:\Kevan\A3041\P3041\Main.vhd":506:2:506:3|Pruning unused register CPUIRQ_1. Make sure that there are no unused intermediate registers.
@W: CL271 :"C:\Kevan\A3041\P3041\Main.vhd":363:2:363:3|Pruning unused bits 7 to 1 of tp_reg_4(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL265 :"C:\Kevan\A3041\P3041\Main.vhd":363:2:363:3|Removing unused bit 7 of sensor_addr_4(7 downto 0). Either assign all bits or reduce the width of the signal.
@W: CL265 :"C:\Kevan\A3041\P3041\Main.vhd":363:2:363:3|Removing unused bit 5 of int_set_4(7 downto 0). Either assign all bits or reduce the width of the signal.
@W: CL190 :"C:\Kevan\A3041\P3041\Main.vhd":506:2:506:3|Optimizing register bit int_bits(5) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Kevan\A3041\P3041\Main.vhd":506:2:506:3|Pruning register bit 5 of int_bits(7 downto 0). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"C:\Kevan\A3041\P3041\Main.vhd":751:2:751:3|Optimizing register bit state(4) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Kevan\A3041\P3041\Main.vhd":751:2:751:3|Optimizing register bit state(5) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL279 :"C:\Kevan\A3041\P3041\Main.vhd":751:2:751:3|Pruning register bits 5 to 4 of state(5 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL249 :"C:\Kevan\A3041\P3041\Main.vhd":610:2:610:3|Initial value is not supported on state machine state

